negative	incoherence reigns .
negative	choppy , overlong documentary about ` the lifestyle . '
negative	it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .
negative	the cumulative effect of the movie is repulsive and depressing .
negative	there 's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme .
negative	the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .
negative	plotless collection of moronic stunts is by far the worst movie of the year .
negative	even if it made its original release date last fall , it would 've reeked of a been-there , done-that sameness .
negative	just a string of stale gags , with no good inside dope , and no particular bite .
negative	in his role of observer of the scene , lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature .
positive	an entertaining documentary that freshly considers arguments the bard 's immortal plays were written by somebody else .
positive	has the rare capability to soothe and break your heart with a single stroke .
positive	you would n't want to live waydowntown , but it is a hilarious place to visit .
positive	the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins .
positive	... standard guns versus martial arts cliche with little new added .
positive	sweetly sexy , funny and touching .
positive	`` frailty '' has been written so well , that even a simple `` goddammit ! ''
positive	passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly ...
positive	one of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .
positive	a chronicle not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department .
